property_name,prop_location,number_of_rooms,prop_bathrooms,sale_price OMR,prop_area SqM,Ad_Type
Own Golf View Villa Today!  اغتنم شراء فیلا| تقسیط | مطلة على الجولف,"The Wave (Almouj), Muscat•",4,5,437000,314,For Sale
2 Bedrooms Apartment for Sale With Marina Views,"The Wave (Almouj), Muscat•",2,2,220000,153,For Sale
2 Bedroom Apartment for Sale in Almeria North Wave Muscat Almouj,"The Wave (Almouj), Muscat•",2,2,125000,139,For Sale
Offices for Sale – Freehold for Foreigners in Prime Location,"Muscat Hills, Muscat•",3,3,1000,70,For Sale
للبيع اراضي في الرميس مخطط حي المعمورة,"Barka, Al Batinah•",3,3,19000,600,For Sale
للبيع ارض سكني تجاري في الرميس,"Barka, Al Batinah•",3,3,38000,431,For Sale
Apartment for Sale in Bawshar - شقة للبيع في بوشر,"Bosher, Muscat•",2,3,53000,108,For Sale
Freehold Ready 3BR Nameer Villa | Life-Time Residency | Muscat Bay,"Muscat - Other, Muscat•",3,5,396000,426,For Sale
Sea View | 5BR Wajd Villa | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",5,7,950000,750,For Sale
Waterfront 5BR Wajd Villa | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",5,7,1000,760,For Sale
Freehold Ready 1BR | Luxury Waterfront Lifestyle in Muscat Bay,"Muscat - Other, Muscat•",1,1,103000,79,For Sale
Lavish Resort Living | Life-Time Oman Residency | Muscat Bay,"Muscat - Other, Muscat•",1,1,98000,79,For Sale
Discounted Price | Freehold Ready Studio in Muscat Bay,"Muscat - Other, Muscat•",3,1,72000,60,For Sale
1bedroom for sale Sultan haitham city- غرف للبيع مدينة السلطان هيثم,"Sultan Haitham City, Muscat•",1,2,58000,70,For Sale
"ADA301**Own your apartment in Uptown Muscat,1 BHK Starting From 40,000","Al Khoud, Muscat•",1,1,40000,38,For Sale
Luxury villa for sales in Muscat Hills,"Muscat Hills, Muscat•",4,5,390000,450,For Sale
مزرعة مفروشة بالكامل للبيع في مشروع حي النسيم بركاء,"Barka, Al Batinah•",3,3,210000,4,For Sale
للبيع توين فيلا في حالة ممتازة للبيع في الانصب قريب من الحديقة الانصب,"Ansab, Muscat•",4,5,145000,350,For Sale
Fully Furnished 3BHK Villa in AIDA Sunrise Haven with Payment Plan,"Yiti, Muscat•",3,4,198000,124,For Sale
Land For Sale - Adjacent to Almouj Golf Course أرض للبيع مجاورة للموج,"The Wave (Almouj), Muscat•",3,3,10000,16,For Sale
Sea View | FullyFurnished 1BHK Apt Juman2 in AlMouj شقة مطلة على البحر,"The Wave (Almouj), Muscat•",1,2,135000,106,For Sale
Boulevard View | Terrace | 20/80 Payment Plan | Hay Alwafa,"Sultan Haitham City, Muscat•",1,2,55000,67,For Sale
GHALA | 2738 SQM WAREHOUSE WITH STAFF ACCOMODATION,"Ghala, Muscat•",3,3,800000,2,For Sale
شقة غرفة واحدة للبيع الموج لاجون - 1BHK apartment for sale almouj,"The Wave (Almouj), Muscat•",1,2,94000,107,For Sale
شقة اطلالة بحرية للبيع في الموج sea view apartment for sale in Al Mouj,"The Wave (Almouj), Muscat•",2,2,141000,127,For Sale
Sea View-1BHK Appartment Sustainable City Yiti | شراء شقة |Urgent Sale,"Yiti, Muscat•",1,2,105000,78,For Sale
استثمار مربح /موج مسقط /عوائد سنویة /تملک حر,"The Wave (Almouj), Muscat•",5,6,425000,619,For Sale
اسرع مطور |مباشرة من المالک |محلات تجاریة للبیع | الموالح |,"Al Mawaleh, Muscat•",3,3,19000,23,For Sale
"شقة للبيع بمزايا فريدة وموقع استراتيجي ,اختيارك للسكن او الإستثمار","Ghala, Muscat•",2,3,45000,106,For Sale
Exclusive Beachfront 2 bedrooms Villa in Jebel Sifah,"Al Sifah, Muscat•",2,2,205000,129,For Sale
Marina View -2BHK FreeHold Appartment Sustainable City Yiti | شراء شقة,"Yiti, Muscat•",2,3,166000,121,For Sale
Sea View Garden Villa 4+1 BHK - 7 Years Installment | 10% Downpayments,"Yiti, Muscat•",4,6,595000,501,For Sale
منزل للبيع المعبيله الجنوبية قريب من حي الزعفران,"Al Maabilah, Muscat•",4,4,95000,630,For Sale
"فيلا 6 غرف في جزيرة جنان, الموج | Jinan Island 6BHK Villa in Al Mouj","The Wave (Almouj), Muscat•",6,6,1000,907,For Sale
Spacious 1 BHK Apartment in Solaris Jebel Sifah with Lovely Terrace,"Al Sifah, Muscat•",1,1,69000,54,For Sale
"BRAND NEW 1 BHK FOR SALE - BOUSHER - 30,000 OMR ONLY !!","Bosher, Muscat•",1,2,30000,57,For Sale
أنا المالك / للبيع ارضين شبك في العامرات / مرتفعات 8/1 قريبه,"Al Amarat, Muscat•",3,3,27000,333,For Sale
للبيع 4 قطع شبك في العامرات المحج الاولى,"Al Amarat, Muscat•",3,3,33000,345,For Sale
Apartment Lagoon View | 1-BR |free hold| Safe investment |Installments,"The Wave (Almouj), Muscat•",1,1,100000,107,For Sale
فیلا فاخرة | 5 غرف نوم | حوض سباحة |موج مسقط | تملک حر,"The Wave (Almouj), Muscat•",5,6,517000,540,For Sale
1 Bedroom Luxury Apartment for Sale- شقة بغرفة واحدة للبيع,"Yiti, Muscat•",1,2,87000,80,For Sale
Apartment with 3 Bedrooms in Muscat- شقة بثلاث غرف في مسقط,"Yiti, Muscat•",3,4,229000,164,For Sale
Luxury Spacious Studio In Zen Residences | Big Terrace | Muscat Bay,"Muscat - Other, Muscat•",3,1,68000,60,For Sale
Luxurious 1 BHK Apartment in Golf Links Al Mouj | Easy Payment Plan,"The Wave (Almouj), Muscat•",1,2,97000,83,For Sale
"Luxury 6+2 BHK Villa in Jinan, Al Mouj | Lake View - Installments","The Wave (Almouj), Muscat•",6,8,665000,455,For Sale
فيلل راقية جدا في حي مجد صحار بالقرب من مستشفى صحار بالأقساط 3 سنوات,"Sohar, Al Batinah•",4,6,59000,322,For Sale
ضيف دخلك الشهري بإمتلاكك لمحل تجاري في بازار صلالة,"Salalah, Dhofar•",3,3,19000,20,For Sale
"Exclusive Freehold Flats – Luxury ,Comfort in One Place! in Suhar","Sohar, Al Batinah•",2,3,47000,110,For Sale
luxury ready Flat Al Mouj Muscat with 4 years installments,"The Wave (Almouj), Muscat•",2,2,129000,130,For Sale
شقق فاخرة بإطلالة بحرية ساحرة على شاطئ الحيل مع ترفر اقساط 10 سنوات,"Al Hail, Muscat•",2,3,69000,102,For Sale
امتلك شقتك في مدينة السلطان هيثم الآن وادفع على 5 سنوات,"Sultan Haitham City, Muscat•",1,2,54000,67,For Sale
Sea View | Marina View | 2BHK Apartment in Al Mouj Juman2 شقق الموج,"The Wave (Almouj), Muscat•",2,3,210000,150,For Sale
Fully Furnished 3BHK Apartment in Al Mouj Lagoon – Muscat شقق الموج,"The Wave (Almouj), Muscat•",3,4,210000,215,For Sale
Office for Sale in Business Tower 2 Muscat Hills with installment,"Muscat Hills, Muscat•",3,3,86000,69,For Sale
"Studio for Sale in Muscat Hills, Furnished, 3 Years Installment","Muscat Hills, Muscat•",3,1,48000,49,For Sale
Villa for Sale in Rose Village Muscat Hills,"Muscat Hills, Muscat•",5,6,256000,258,For Sale
Apartment for Sale 2 bhk in Golf Tower Muscat Hills,"Muscat Hills, Muscat•",2,3,80000,129,For Sale
Apartment for sale 2 bhk in Muscat Hills,"Muscat Hills, Muscat•",2,2,87000,139,For Sale
احجز شقتك الآن في مدينة السلطان هيثم,"Sultan Haitham City, Muscat•",1,2,54000,67,For Sale
5 Bedrooms Villa For Sale In Almouj Muscat,"The Wave (Almouj), Muscat•",5,5,295000,265,For Sale
Luxury 5 BHK Villa in MQ for slae,"Madinat As Sultan Qaboos, Muscat•",5,6,190000,370,For Sale
Luxurious 3+1 Bedroom Lakefront Villa for Sale in Hawana Salalah,"Salalah, Dhofar•",3,3,350000,292,For Sale
SR- HR- 159 Villa for Sale in Al Mouj/فيلا للبيع فيي الموج,"The Wave (Almouj), Muscat•",3,3,210000,259,For Sale
"Elegant 5-Bedroom Villa for Sale in Al Mouj, Muscat","The Wave (Almouj), Muscat•",5,5,588000,722,For Sale
"Apartment for Sale, Muscat Hills, 2 Bedroom","Muscat Hills, Muscat•",2,3,81000,132,For Sale
FREE HOLD!! 3BHK Apartments at Wadi Zaha in Sultan Haitham City,"Sultan Haitham City, Muscat•",3,4,110000,169,For Sale
Don't miss your chance to buy your apartment in Sultan Haitham City!!,"Sultan Haitham City, Muscat•",1,2,54000,70,For Sale
Free Hold!! Amazing 4BHK Villa For Sale in Golf Links - Al Mouj FSV71,"The Wave (Almouj), Muscat•",4,5,567000,314,For Sale
3 Bedroom Modern Townhouse in NEEM at Al Marsa Village-Al Mouj FSV70,"The Wave (Almouj), Muscat•",3,3,200000,192,For Sale
Furnished 1BHK Apartment in For Sale in Hawana Salalah FSA52,"Salalah, Dhofar•",1,1,47000,65,For Sale
4BHK Amazing Villa for Sale in Al Muna Bousher FSV53,"Bosher, Muscat•",4,5,165000,350,For Sale
"Luxury Fully Furnished  4+1BHK Villa, Private Pool in Muscat Bay FSV56","Barr Al Jissah, Muscat•",5,5,470000,422,For Sale
Cheapest Off-Plan appartment in Muscat Hills | أرخص وحدة في مسقط هيلز,"Muscat Hills, Muscat•",1,2,60000,60,For Sale
5 Bedrooms Villa For Sale in Almouj Muscat,"The Wave (Almouj), Muscat•",5,6,550000,520,For Sale
Beautiful 5 Bedrooms Villa For Sale in Almouj Muscat,"The Wave (Almouj), Muscat•",5,7,490000,519,For Sale
شقة للبيع في مبنى ذا لينكس – مسقط هيلز-Apartment for Sale – The Links,"Muscat Hills, Muscat•",1,1,88000,105,For Sale
Luxurious 2BHK Villa | Private Pool | Large Garden | Hawana Salalah,"Salalah, Dhofar•",2,3,227000,494,For Sale
Sea View-1BHK Appartment Sustainable City Yiti | شراء شقة | ROI: 9%,"Yiti, Muscat•",1,2,105000,78,For Sale
ROI: 9% | Marina View -2BHK FreeHold Appartment Sustainable City Yiti,"Yiti, Muscat•",2,3,166000,121,For Sale
1 BR Appartment FreeHold Uptown شقة بغرفة نوم واحدة في مسقط,"Al Seeb, Muscat•",1,2,59000,83,For Sale
Amazing 1 BHK Apartment For Sale in Wadi Zaha With Easy Payment Plan,"Al Seeb, Muscat•",1,2,58000,73,For Sale
30/70 Payment Plan | Spacious Unit | Sustainable City Yiti,"Yiti, Muscat•",1,2,85000,78,For Sale
Luxzurious 2BHK with Stunning View| High Floor| Payment Plan| Solaris,"Al Sifah, Muscat•",2,2,91000,85,For Sale
Standalone Villa | Flexible Payment Plan | Raya in Jebel Sifah,"Al Sifah, Muscat•",3,4,184000,183,For Sale
Serviced 2 BHK Apartment for Sale in La Vie with 3 Years Payment Plan,"Muscat - Other, Muscat•",2,3,150000,114,For Sale
Luxurious 2BR | Balcony | Payment Plan | Solaris in Jebel Sifah,"Al Sifah, Muscat•",2,2,97000,89,For Sale
Fabulous View | High Floor | Scenic Balcony | Solaris,"Al Sifah, Muscat•",2,2,93000,85,For Sale
Band New Luxurious Studio with Dazzling View For Sale in Solaris,"Al Sifah, Muscat•",3,1,45000,38,For Sale
20/80 Payment Plan | Boulevard View | Hay Alwafa Sultan Haitham City,"Sultan Haitham City, Muscat•",1,2,58000,72,For Sale
20/80 Payment Plan| Spacious 3BR+Maids| Terrace| Hay Alwafa,"Sultan Haitham City, Muscat•",3,4,119000,154,For Sale
20/80 Payment Plan | Boulevard View | Terrace | Hay Alwafa,"Sultan Haitham City, Muscat•",1,2,55000,67,For Sale
4 BHK Penthouse | High Floor | 5 Years Payment Plan | Uptown Muscat,"Muscat - Other, Muscat•",4,6,222000,338,For Sale
20/80 Payment Plan | Corner 5BR Villa | Hay Alwafa Sultan Haitham City,"Sultan Haitham City, Muscat•",5,7,233000,412,For Sale
Big 3 BHK Apartment with Balcony | 5 Yrs Payment Plan | Uptown Muscat,"Muscat - Other, Muscat•",3,4,103000,158,For Sale
Freehold 2BHK Apartment in Telal Al Qurum | Flexible Payment Plan,"Qurum, Muscat•",2,2,65000,89,For Sale
Spacious 2BR| Balcony| 5 Years Payment Plan| Uptown Muscat,"Muscat - Other, Muscat•",2,3,101000,100,For Sale
Spacious Layout | Balcony| Easy Payment Plan | Uptown Muscat,"Muscat - Other, Muscat•",1,2,71000,96,For Sale
Dazzling Garden 3BHK Townhouse for Sale in Wadi Zaha with Payment Plan,"Al Seeb, Muscat•",3,4,176000,215,For Sale
Luxurious 1 BHK Apartment | 5 Years Payment Plan | Uptown Muscat,"Muscat - Other, Muscat•",1,1,51000,57,For Sale
Amazing Marina View | Balcony | High Floor | Easy 30/70 Payment Plan,"Yiti, Muscat•",3,1,81000,54,For Sale
Furnished 1 BHK Apartment for sale in La Vie | 3 Years Paymment Plan,"Muscat - Other, Muscat•",1,2,124000,105,For Sale
Flexible Payment Plan | Big Terrace | Maids Room | Hay Alwafa,"Sultan Haitham City, Muscat•",2,3,96000,128,For Sale
Standalone Villa | Payment Plan | Iconic Location | Raya,"Al Sifah, Muscat•",3,4,188000,183,For Sale
Villa For Sale,"Al Khoud, Muscat•",5,7,135000,401,For Sale
شقة للبيع في بوشر بجانب جامع محمد الامين  ب افضل المميزات والاسعار,"Bosher, Muscat•",1,2,29000,58,For Sale
احجز شقتك الان في مدينة السلطان هيثم,"Sultan Haitham City, Muscat•",1,1,50000,67,For Sale
شقة للبيع راقية  بافضل الاسعار في السوق واقساط ميسره اكثر من ٢٠ شهر,"Al Seeb, Muscat•",1,2,26000,70,For Sale
مكاتب ب احدث التجهيزات للبيع ب القرب من جميع الخدمات,"Ghala, Muscat•",3,3,31000,63,For Sale
شقه للبيع بافضل الاسعار في السوق و اقساط ميسره اكثر من ٢٠ شهر,"Bosher, Muscat•",4,4,51000,114,For Sale
شقه راقيه وبسعر اقل من السوق واقساط لاكثر من ٢٠ شهر,"Al Khoud, Muscat•",1,2,25000,67,For Sale
Prime Investment Opportunity Building for sale in the Heart of ALMOUJ!,"The Wave (Almouj), Muscat•",3,3,6000,1,For Sale
FSV58 فلل فخمه للبيع في الخوض لا مثيل لها في السوق,"Al Khoud, Muscat•",7,8,220000,625,For Sale
Modern Villa for Sale in Al Khoudh,"Al Khoud, Muscat•",5,6,118000,430,For Sale
Villa 3 Bedroom with Stunning Sea View for Sale in Jebel Sifah,"Al Sifah, Muscat•",3,3,250000,153,For Sale
للبيع شقه مجمع تلال في جراند مول,"Al Khuwair, Muscat•",3,2,83000,203,For Sale
2BHK Freehold in Uptown Muscat | شقة تملّك حر ٢ غرف في مسقط,"Al Seeb, Muscat•",2,3,87000,134,For Sale
أروع شقة دوبلکس ب4 غرف نوم تملک حر داخل مسقط,"Al Seeb, Muscat•",4,6,222000,339,For Sale
1 BR Appartment FreeHold Sustainable City Yiti شقة بغرفة نوم واحدة,"Yiti, Muscat•",1,2,85000,79,For Sale
7 Yr installment Villa Freehold –2026 أقساط 7 سنوات فيلا تملّك حر,"Yiti, Muscat•",3,5,274000,238,For Sale
Full Office Floor for Sale – Commercial | بيع كامل لطابق مكتبي,"Al Ghubrah, Muscat•",3,3,3000,2,For Sale
فيلا أربع غرف للبيع في مسقط- Villa for sale with 4 bedrooms in Muscat,"Yiti, Muscat•",4,6,276000,285,For Sale
تملك شقة الخريف الفاخرة ، بإطلالة بحرية ساحرة,"Salalah, Dhofar•",1,2,33000,143,For Sale
Spacious 3BHK Sultan Haitham City| شقة غرفتين نوم للبيع، سند الملكية,"Sultan Haitham City, Muscat•",3,4,110000,196,For Sale
Spacious 2BHK FreeHold Sultan Haitham City| شقة بغرفتي نوم للبيع,"Sultan Haitham City, Muscat•",2,3,80000,142,For Sale
استوديوهات للبيع بالتقسيط في مدينة السلطان هيثم بأسعار معقولة Studio,"Sultan Haitham City, Muscat•",3,2,46000,72,For Sale
2 BHK Apartment for Sale in Qurum – PDO Heights,"Qurum, Muscat•",2,2,80000,137,For Sale
Prime 2700 sqm Land for Sale in Azaiba,"Azaiba, Muscat•",3,3,810000,2,For Sale
"شقة للبيع تجهز خلال شهرين خلف بانوراما مول ,فرصة قوية للاستثمار والسكن","Al Ghubrah, Muscat•",2,2,44000,97,For Sale
"تاون هاوس كورنر ، هوانا صلالة | Beautiful Corner Townhouse ,Salalah","Salalah, Dhofar•",1,2,68000,76,For Sale
Elegant 4-Bedroom Zaha Villa for Sale in Muscat Bay,"Qantab, Muscat•",4,4,413000,422,For Sale
"FREEHOLD 1 BEDROOM APARTMENT – MUSCAT HILLS, OPAL RESIDENCE","Muscat Hills, Muscat•",1,2,60000,80,For Sale
"FREEHOLD 2+1 BEDROOM APARTMENT – OPAL RESIDENCE, MUSCAT HILLS","Muscat Hills, Muscat•",2,2,97000,120,For Sale
Apartment in Muscat for sale- شقة في مسقط للبيع,"Yiti, Muscat•",1,2,88000,79,For Sale
Apartment for Sale with 2-Bedroom – Smart & Sustainable Living,"Yiti, Muscat•",2,3,128000,120,For Sale
Apartment for Sale with 1-Bedroom and Offering Unique Views,"Yiti, Muscat•",1,2,85000,85,For Sale
Apartment with 1 bedroom for sale- شقة بغرفة واحدة للبيع,"Yiti, Muscat•",1,2,91000,80,For Sale
Villa for Sale 4 Bedrooms- فيلا للبيع 4 غرف,"Yiti, Muscat•",4,5,317000,282,For Sale
Three bedroom villa for sale- فيلا ثلاث غرف للبيع,"Yiti, Muscat•",3,5,238000,252,For Sale
Villa for Sale in Muscat- فيلا للبيع في مسقط,"Yiti, Muscat•",4,6,455000,459,For Sale
Apartment for Sale with 3 - Bedrooms - Hotel and Courtyard View,"Yiti, Muscat•",3,4,229000,164,For Sale
Villa for Sale (Garden) - Plaza View,"Yiti, Muscat•",4,5,455000,506,For Sale
Apartment for Sale with 2 - Bedroom - Marina View,"Yiti, Muscat•",2,3,160000,120,For Sale
3 Bedroom apartment with sea view- شقة 3 غرف باطلالة بحرية,"Yiti, Muscat•",3,4,236000,172,For Sale
Villa for Sale in Yiti - فيلا للبيع في يتي,"Yiti, Muscat•",4,5,238000,256,For Sale
3 Bedroom Charming Villa for Sale in Ghadeer Parks,"The Wave (Almouj), Muscat•",3,4,310000,247,For Sale
"Sultan Haitham City, Freehold 5-Bedroom Villa for Sale in Sarooj Oasis","Sultan Haitham City, Muscat•",5,6,174000,280,For Sale
"Sultan Haitham City, 1-Bedroom Apartment for Sale in Sarooj Oasis","Sultan Haitham City, Muscat•",1,2,50000,82,For Sale
"Free Hold 2+1 Bedroom Apartment in Muscat Hills, OPAL RESIDENCE","Muscat Hills, Muscat•",3,4,97000,120,For Sale
FREEHOLD STUDIO APARTMENT IN MUSCAT HILLS – OPAL RESIDENCE,"Muscat Hills, Muscat•",3,1,47000,49,For Sale
1BHK Apartment in Almouj Lagoon | شقة 1 غرفة في الموج لاجون | FreeHold,"The Wave (Almouj), Muscat•",1,2,96000,107,For Sale
للبيع أرض سكنية في مرتفعات الأنصب كورنر على شارعين مساحة كبيرة 691 متر,"Ansab, Muscat•",3,3,145000,691,For Sale
Ultra-Luxury 6-Bedroom Villa | Golf Beach Residences – Al Mouj Muscat,"The Wave (Almouj), Muscat•",6,7,3000,1,For Sale
"Penthouse 2BR + Terrace | Great Deal in Al Mouj – Only OMR 200,000","The Wave (Almouj), Muscat•",2,2,200000,1,For Sale
4 + 1 BR Penthouse Apartment in Madinat Sultan Qaboos for Sale,"Madinat As Sultan Qaboos, Muscat•",3,4,135000,273,For Sale
Fullyfurnished Seaview Apartment at St Regis Al Mouj,"The Wave (Almouj), Muscat•",2,3,461000,185,For Sale
1BR Freehold Apt in BLV Muscat Hills | شقة تمليك غرفة نوم بمسقط,"Muscat Hills, Muscat•",1,1,63000,100,For Sale
High-Value Investment – Sea-View 2BR at St. Regis,"The Wave (Almouj), Muscat•",2,3,450000,183,For Sale
امتلك تاون هاوس راقٍ في مدينة السلطان هيثم,"Sultan Haitham City, Muscat•",3,3,111000,194,For Sale
Apartment for Sale in Jebel Sifah | شقة للبيع في جبل سيفة,"Al Sifah, Muscat•",2,2,117000,124,For Sale
Best View 2 Bedrooms in Jebel Sifah | شقة غرفتين في جبل سيفة,"Al Sifah, Muscat•",2,2,85000,105,For Sale
"Townhouse for sale, in Sultan Haitham City","Sultan Haitham City, Muscat•",3,3,121000,205,For Sale
